Finished setup, waiting to start, PID: p:0.02 i(x100):0.00 d(x10):1.00 iCap:10000
UPLoading
1.10 4.00 2.00 10.00 5.00 1.00 0.00 
DOWNSLOPE1227 x:-1.55 y:0.12 z:1.07 acc:1.89 inst:3.85 dt:5
DOWNSLOPE1233 x:-1.57 y:0.27 z:1.16 acc:1.97 inst:3.84 dt:6
DOWNSLOPE1238 x:-1.57 y:0.27 z:1.16 acc:1.97 inst:3.84 dt:5
DOWNSLOPE1243 x:-1.57 y:0.27 z:1.16 acc:1.97 inst:3.84 dt:5
DOWNSLOPE1249 x:-1.57 y:0.27 z:1.16 acc:1.97 inst:3.83 dt:6
DOWNSLOPE1254 x:-1.57 y:0.27 z:1.16 acc:1.97 inst:3.83 dt:5
DOWNSLOPE1259 x:-1.54 y:0.29 z:1.32 acc:2.05 inst:3.83 dt:5
DOWNSLOPE1264 x:-1.54 y:0.29 z:1.32 acc:2.05 inst:3.82 dt:5
DOWNSLOPE1269 x:-1.54 y:0.29 z:1.32 acc:2.05 inst:3.82 dt:5
DOWNSLOPE1274 x:-1.54 y:0.29 z:1.32 acc:2.05 inst:3.82 dt:5
DOWNSLOPE1279 x:-1.54 y:0.29 z:1.32 acc:2.05 inst:3.81 dt:5
DOWNSLOPE1284 x:-1.44 y:0.15 z:1.18 acc:1.87 inst:3.81 dt:5
DOWNSLOPE1290 x:-1.44 y:0.15 z:1.18 acc:1.87 inst:3.81 dt:6
DOWNSLOPE1295 x:-1.44 y:0.15 z:1.18 acc:1.87 inst:3.80 dt:5
DOWNSLOPE1300 x:-1.44 y:0.15 z:1.18 acc:1.87 inst:3.80 dt:5
DOWNSLOPE1306 x:-1.40 y:0.20 z:1.17 acc:1.84 inst:3.80 dt:6
DOWNSLOPE1310 x:-1.40 y:0.20 z:1.17 acc:1.84 inst:3.79 dt:4
DOWNSLOPE1315 x:-1.40 y:0.20 z:1.17 acc:1.84 inst:3.79 dt:5
DOWNSLOPE1321 x:-1.40 y:0.20 z:1.17 acc:1.84 inst:3.79 dt:6
DOWNSLOPE1326 x:-1.40 y:0.20 z:1.17 acc:1.84 inst:3.78 dt:5
DOWNSLOPE1332 x:-1.40 y:0.17 z:1.23 acc:1.87 inst:3.78 dt:6
DOWNSLOPE1337 x:-1.40 y:0.17 z:1.23 acc:1.87 inst:3.78 dt:5
DOWNSLOPE1342 x:-1.40 y:0.17 z:1.23 acc:1.87 inst:3.77 dt:5
DOWNSLOPE1347 x:-1.40 y:0.17 z:1.23 acc:1.87 inst:3.77 dt:5
DOWNSLOPE1352 x:-1.40 y:0.17 z:1.23 acc:1.87 inst:3.77 dt:5
DOWNSLOPE1357 x:-1.39 y:0.13 z:1.23 acc:1.87 inst:3.76 dt:5
DOWNSLOPE1362 x:-1.39 y:0.13 z:1.23 acc:1.87 inst:3.76 dt:5
DOWNSLOPE1367 x:-1.39 y:0.13 z:1.23 acc:1.87 inst:3.76 dt:5
DOWNSLOPE1372 x:-1.39 y:0.13 z:1.23 acc:1.87 inst:3.75 dt:5
DOWNSLOPE1378 x:-1.39 y:0.17 z:1.18 acc:1.83 inst:3.75 dt:6
DOWNSLOPE1383 x:-1.39 y:0.17 z:1.18 acc:1.83 inst:3.74 dt:5
DOWNSLOPE1388 x:-1.39 y:0.17 z:1.18 acc:1.83 inst:3.74 dt:5
DOWNSLOPE1393 x:-1.39 y:0.17 z:1.18 acc:1.83 inst:3.74 dt:5
DOWNSLOPE1399 x:-1.39 y:0.17 z:1.18 acc:1.83 inst:3.73 dt:6
DOWNSLOPE1404 x:-1.45 y:0.13 z:1.12 acc:1.84 inst:3.73 dt:5
DOWNSLOPE1409 x:-1.45 y:0.13 z:1.12 acc:1.84 inst:3.73 dt:5
DOWNSLOPE1414 x:-1.45 y:0.13 z:1.12 acc:1.84 inst:3.72 dt:5
DOWNSLOPE1420 x:-1.45 y:0.13 z:1.12 acc:1.84 inst:3.72 dt:6
DOWNSLOPE1425 x:-1.45 y:0.13 z:1.12 acc:1.84 inst:3.72 dt:5
DOWNSLOPE1430 x:-1.38 y:0.24 z:1.12 acc:1.79 inst:3.71 dt:5
DOWNSLOPE1435 x:-1.38 y:0.24 z:1.12 acc:1.79 inst:3.71 dt:5
DOWNSLOPE1440 x:-1.38 y:0.24 z:1.12 acc:1.79 inst:3.71 dt:5
DOWNSLOPE1445 x:-1.38 y:0.24 z:1.12 acc:1.79 inst:3.70 dt:5
DOWNSLOPE1450 x:-1.36 y:0.29 z:1.16 acc:1.81 inst:3.70 dt:5
DOWNSLOPE1455 x:-1.36 y:0.29 z:1.16 acc:1.81 inst:3.70 dt:5
DOWNSLOPE1461 x:-1.36 y:0.29 z:1.16 acc:1.81 inst:3.69 dt:6
DOWNSLOPE1466 x:-1.36 y:0.29 z:1.16 acc:1.81 inst:3.69 dt:5
DOWNSLOPE1471 x:-1.36 y:0.29 z:1.16 acc:1.81 inst:3.69 dt:5
DOWNSLOPE1477 x:-1.37 y:0.26 z:1.16 acc:1.82 inst:3.68 dt:6
DOWNSLOPE1482 x:-1.37 y:0.26 z:1.16 acc:1.82 inst:3.68 dt:5
DOWNSLOPE1487 x:-1.37 y:0.26 z:1.16 acc:1.82 inst:3.68 dt:5
DOWNSLOPE1492 x:-1.37 y:0.26 z:1.16 acc:1.82 inst:3.67 dt:5
DOWNSLOPE1497 x:-1.37 y:0.26 z:1.16 acc:1.82 inst:3.67 dt:5
DOWNSLOPE1503 x:-1.39 y:0.21 z:1.15 acc:1.82 inst:3.66 dt:6
DOWNSLOPE1508 x:-1.39 y:0.21 z:1.15 acc:1.82 inst:3.66 dt:5
