Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:500
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
8358	5.40	6.36	1.32
8370	5.40	6.37	1.32
8392	5.47	6.39	1.32
8406	5.46	6.41	1.32
8418	5.46	6.42	1.32
8431	5.46	6.43	1.33
8445	5.46	6.45	1.33
8458	5.43	6.46	1.33
8470	5.43	6.47	1.33
8492	5.52	6.49	1.33
8518	5.65	6.52	1.33
8532	5.65	6.53	1.33
8545	5.65	6.55	1.34
8558	5.58	6.56	1.34
8571	5.58	6.57	1.34
8584	5.52	6.58	1.34
8597	5.51	6.60	1.35
8610	5.51	6.61	1.35
8624	5.57	6.62	1.35
8637	5.57	6.64	1.35
8659	5.65	6.66	1.35
8677	5.70	6.68	1.35
8688	5.70	6.69	1.35
8703	5.68	6.70	1.36
8715	5.68	6.72	1.36
8728	5.70	6.73	1.36
8742	5.70	6.74	1.36
8755	5.66	6.76	1.36
8767	5.66	6.77	1.37
8780	5.66	6.78	1.37
8794	5.73	6.79	1.31
8811	5.73	6.81	1.37
8847	6.14	6.85	1.34
8870	6.02	6.87	1.37
8882	6.02	6.88	1.37
8894	5.95	6.89	1.38
8907	5.95	6.91	1.38
8921	5.94	6.92	1.38
8933	5.94	6.93	1.38
8947	5.83	6.95	1.39
8960	5.83	6.96	1.39
8973	5.80	6.97	1.39
8986	5.80	6.99	1.39
9004	5.90	7.00	1.39
9030	6.04	7.03	1.39
9049	6.10	7.05	1.39
9062	6.15	7.06	1.39
9074	6.15	7.07	nan
9088	6.11	7.09	1.40
9099	6.11	7.10	1.40
9113	6.02	7.11	1.40
9126	6.02	7.13	1.41
9147	6.11	7.15	1.41
9161	6.16	7.16	1.40
9178	6.16	7.18	1.41
9196	6.21	7.20	1.41
9208	6.21	7.21	1.41
9222	6.18	7.22	1.41
9235	6.12	7.24	1.47
9248	6.12	7.25	1.42
9266	6.33	7.27	1.32
9302	6.40	7.30	1.42
9315	6.42	7.32	1.42
9327	6.42	7.33	1.42
9342	6.34	7.34	1.43
9354	6.34	7.35	1.43
9367	6.15	7.37	1.43
9379	6.15	7.38	1.44
9393	6.16	7.39	1.44
9405	6.16	7.41	1.44
9418	6.28	7.42	1.44
9431	6.34	7.43	1.37
9448	6.34	7.45	nan
9466	6.43	7.47	1.44
9479	6.43	7.48	1.44
9495	6.57	7.50	1.44
9510	6.44	7.51	1.45
9522	6.44	7.52	1.45
9535	6.34	7.54	1.45
9548	6.34	7.55	1.45
9566	6.40	7.57	1.45
9578	6.40	7.58	1.46
9601	6.63	7.60	1.45
9614	6.54	7.61	1.46
9626	6.54	7.63	1.46
9640	6.45	7.64	1.46
9653	6.45	7.65	1.46
9666	6.44	7.67	1.47
9679	6.44	7.68	1.47
9700	6.53	7.70	1.47
9713	6.56	7.71	1.47
9726	6.56	7.73	1.47
9739	6.60	7.74	1.47
9752	6.60	7.75	1.47
9779	6.75	7.78	1.47
9792	6.54	7.79	1.48
9804	6.58	7.80	1.44
