Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
855 x:0.10 y:0.19 z:1.05 acc:1.07 inst:3.42 dt:9 timee:1000 pComp:0.70 iComp:0.16 dComp:0.00 FF:0.30 PID:0.87
864 x:0.10 y:0.19 z:1.05 acc:1.07 inst:3.46 dt:9 timee:1000 pComp:0.72 iComp:0.17 dComp:0.00 FF:0.31 PID:0.89
873 x:0.09 y:0.18 z:1.06 acc:1.08 inst:3.49 dt:9 timee:1000 pComp:0.72 iComp:0.17 dComp:0.00 FF:0.32 PID:0.90
883 x:0.09 y:0.18 z:1.06 acc:1.08 inst:3.53 dt:10 timee:1000 pComp:0.74 iComp:0.18 dComp:0.00 FF:0.33 PID:0.92
893 x:0.05 y:0.12 z:1.07 acc:1.08 inst:3.57 dt:10 timee:1000 pComp:0.75 iComp:0.19 dComp:0.00 FF:0.33 PID:0.94
902 x:0.05 y:0.12 z:1.07 acc:1.08 inst:3.61 dt:9 timee:1000 pComp:0.76 iComp:0.20 dComp:0.00 FF:0.34 PID:0.96
911 x:0.05 y:0.12 z:1.07 acc:1.08 inst:3.64 dt:9 timee:1000 pComp:0.77 iComp:0.20 dComp:0.00 FF:0.35 PID:0.98
921 x:0.05 y:0.13 z:1.07 acc:1.08 inst:3.68 dt:10 timee:1000 pComp:0.78 iComp:0.21 dComp:0.00 FF:0.36 PID:1.00
931 x:0.05 y:0.13 z:1.07 acc:1.08 inst:3.72 dt:10 timee:1000 pComp:0.79 iComp:0.22 dComp:0.00 FF:0.36 PID:1.02
940 x:0.06 y:0.16 z:1.06 acc:1.07 inst:3.76 dt:9 timee:1000 pComp:0.81 iComp:0.23 dComp:0.00 FF:0.37 PID:1.04
949 x:0.06 y:0.16 z:1.06 acc:1.07 inst:3.80 dt:9 timee:1000 pComp:0.82 iComp:0.23 dComp:0.00 FF:0.37 PID:1.05
958 x:0.06 y:0.16 z:1.06 acc:1.07 inst:3.83 dt:9 timee:1000 pComp:0.83 iComp:0.24 dComp:0.00 FF:0.38 PID:1.07
969 x:0.06 y:0.18 z:1.05 acc:1.07 inst:3.88 dt:11 timee:1000 pComp:0.84 iComp:0.25 dComp:0.00 FF:0.39 PID:1.10
978 x:0.06 y:0.18 z:1.05 acc:1.07 inst:3.91 dt:9 timee:1000 pComp:0.85 iComp:0.26 dComp:0.00 FF:0.39 PID:1.11
987 x:0.06 y:0.18 z:1.05 acc:1.07 inst:3.95 dt:9 timee:1000 pComp:0.86 iComp:0.26 dComp:0.00 FF:0.40 PID:1.13
997 x:0.06 y:0.18 z:1.05 acc:1.07 inst:3.99 dt:10 timee:1000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1006 x:0.06 y:0.18 z:1.05 acc:1.07 inst:4.00 dt:9 timee:4000 pComp:0.88 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1016 x:0.08 y:0.18 z:1.09 acc:1.11 inst:3.99 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1025 x:0.08 y:0.18 z:1.09 acc:1.11 inst:3.98 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1035 x:0.08 y:0.18 z:1.09 acc:1.11 inst:3.98 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1044 x:0.06 y:0.18 z:1.08 acc:1.10 inst:3.97 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1055 x:0.06 y:0.18 z:1.08 acc:1.10 inst:3.96 dt:11 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1064 x:0.06 y:0.19 z:1.06 acc:1.08 inst:3.96 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1073 x:0.06 y:0.19 z:1.06 acc:1.08 inst:3.95 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1083 x:0.06 y:0.19 z:1.06 acc:1.08 inst:3.94 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1092 x:0.06 y:0.18 z:1.05 acc:1.07 inst:3.94 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1102 x:0.06 y:0.18 z:1.05 acc:1.07 inst:3.93 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1112 x:0.09 y:0.19 z:1.07 acc:1.09 inst:3.93 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1121 x:0.09 y:0.19 z:1.07 acc:1.09 inst:3.92 dt:9 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1131 x:0.09 y:0.19 z:1.07 acc:1.09 inst:3.91 dt:10 timee:4000 pComp:0.85 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1141 x:0.10 y:0.18 z:1.09 acc:1.11 inst:3.91 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1151 x:0.10 y:0.18 z:1.09 acc:1.11 inst:3.90 dt:10 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1160 x:0.09 y:0.19 z:1.08 acc:1.10 inst:3.89 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1169 x:0.09 y:0.19 z:1.08 acc:1.10 inst:3.89 dt:9 timee:4000 pComp:0.84 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1179 x:0.09 y:0.19 z:1.08 acc:1.10 inst:3.88 dt:10 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1190 x:0.08 y:0.20 z:1.07 acc:1.09 inst:3.87 dt:11 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1199 x:0.08 y:0.20 z:1.07 acc:1.09 inst:3.87 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1208 x:0.08 y:0.19 z:1.06 acc:1.08 inst:3.86 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1217 x:0.08 y:0.19 z:1.06 acc:1.08 inst:3.86 dt:9 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1228 x:0.08 y:0.19 z:1.06 acc:1.08 inst:3.85 dt:11 timee:4000 pComp:0.83 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1237 x:0.12 y:0.13 z:1.08 acc:1.09 inst:3.84 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1247 x:0.12 y:0.13 z:1.08 acc:1.09 inst:3.84 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1256 x:0.09 y:0.15 z:1.07 acc:1.09 inst:3.83 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1267 x:0.09 y:0.15 z:1.07 acc:1.09 inst:3.82 dt:11 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1276 x:0.09 y:0.15 z:1.07 acc:1.09 inst:3.82 dt:9 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1286 x:0.10 y:0.17 z:1.07 acc:1.09 inst:3.81 dt:10 timee:4000 pComp:0.82 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1295 x:0.10 y:0.17 z:1.07 acc:1.09 inst:3.80 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1304 x:0.10 y:0.17 z:1.07 acc:1.09 inst:3.80 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1315 x:0.10 y:0.19 z:1.06 acc:1.08 inst:3.79 dt:11 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1324 x:0.10 y:0.19 z:1.06 acc:1.08 inst:3.78 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1334 x:0.09 y:0.17 z:1.04 acc:1.06 inst:3.78 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1343 x:0.09 y:0.17 z:1.04 acc:1.06 inst:3.77 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1353 x:0.09 y:0.17 z:1.04 acc:1.06 inst:3.76 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1363 x:0.07 y:0.16 z:1.05 acc:1.06 inst:3.76 dt:10 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1372 x:0.07 y:0.16 z:1.05 acc:1.06 inst:3.75 dt:9 timee:4000 pComp:0.81 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1382 x:0.06 y:0.16 z:1.05 acc:1.06 inst:3.75 dt:10 timee:4000 pComp:0.80 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1391 x:0.06 y:0.16 z:1.05 acc:1.06 inst:3.74 dt:9 timee:4000 pComp:0.80 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
