Finished setup, waiting to start, PID: p:0 i(x100):0 d(x10):0
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
1.10 4.00 2.00 10.00 5.00 0.00 0.00 
 x:38.08 p:3.45 dt:0.18 a:22.34 c1:253.00 c2:8.80 c3:-260.71
 x:37.93 p:3.45 dt:0.18 a:22.34 c1:248.87 c2:8.28 c3:-260.71
 x:38.08 p:3.45 dt:0.18 a:22.34 c1:253.00 c2:8.80 c3:-260.71
 x:38.01 p:3.45 dt:0.18 a:22.34 c1:250.93 c2:8.54 c3:-260.71
 x:38.01 p:3.45 dt:0.18 a:22.34 c1:250.93 c2:8.54 c3:-260.71
 x:38.08 p:3.45 dt:0.18 a:22.34 c1:253.00 c2:8.80 c3:-260.71
 x:38.05 p:3.45 dt:0.18 a:22.34 c1:251.96 c2:8.67 c3:-260.71
 x:38.05 p:3.45 dt:0.18 a:22.34 c1:251.96 c2:8.67 c3:-260.71
 x:38.08 p:3.45 dt:0.18 a:22.34 c1:253.00 c2:8.80 c3:-260.71
 x:38.07 p:3.45 dt:0.18 a:22.34 c1:252.48 c2:8.74 c3:-260.71
 x:38.05 p:3.45 dt:0.18 a:22.34 c1:251.96 c2:8.67 c3:-260.71
 x:38.07 p:3.45 dt:0.18 a:22.34 c1:252.48 c2:8.74 c3:-260.71
 x:38.06 p:3.45 dt:0.18 a:22.34 c1:252.22 c2:8.70 c3:-260.71
 x:38.05 p:3.45 dt:0.18 a:22.34 c1:251.96 c2:8.67 c3:-260.71
 x:38.06 p:3.45 dt:0.18 a:22.34 c1:252.22 c2:8.70 c3:-260.71
==================38.06
406 x:0.08 y:0.21 z:1.06 acc:1.09 inst:2.28 dt:182 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:1.19 PID:1.19
 x:38.06 p:3.99 dt:0.18 a:27.49 c1:252.22 c2:0.00 c3:-397.42
 x:48.06 p:3.99 dt:0.18 a:27.49 c1:641.33 c2:33.47 c3:-397.42
 x:43.06 p:3.99 dt:0.18 a:27.49 c1:413.26 c2:8.37 c3:-397.42
 x:38.06 p:3.99 dt:0.18 a:27.49 c1:252.22 c2:0.00 c3:-397.42
 x:43.06 p:3.99 dt:0.18 a:27.49 c1:413.26 c2:8.37 c3:-397.42
 x:40.56 p:3.99 dt:0.18 a:27.49 c1:325.32 c2:2.09 c3:-397.42
 x:40.56 p:3.99 dt:0.18 a:27.49 c1:325.32 c2:2.09 c3:-397.42
 x:43.06 p:3.99 dt:0.18 a:27.49 c1:413.26 c2:8.37 c3:-397.42
 x:41.81 p:3.99 dt:0.18 a:27.49 c1:367.32 c2:4.71 c3:-397.42
 x:41.81 p:3.99 dt:0.18 a:27.49 c1:367.32 c2:4.71 c3:-397.42
 x:43.06 p:3.99 dt:0.18 a:27.49 c1:413.26 c2:8.37 c3:-397.42
 x:42.43 p:3.99 dt:0.18 a:27.49 c1:389.78 c2:6.41 c3:-397.42
 x:42.43 p:3.99 dt:0.18 a:27.49 c1:389.78 c2:6.41 c3:-397.42
 x:43.06 p:3.99 dt:0.18 a:27.49 c1:413.26 c2:8.37 c3:-397.42
