Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 
0 1000 4000 10000 12000 17000 0 
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 17000 0 1000 4000 10000 12000 15000 20000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
735 x:0.15 y:0.19 z:1.04 acc:1.06 inst:2.94 dt:9 timee:1000 pComp:0.56 iComp:0.08 dComp:0.00 FF:nan PID:nan
744 x:0.15 y:0.19 z:1.04 acc:1.06 inst:2.98 dt:9 timee:1000 pComp:0.57 iComp:0.09 dComp:0.00 FF:nan PID:nan
753 x:0.15 y:0.19 z:1.04 acc:1.06 inst:3.01 dt:9 timee:1000 pComp:0.58 iComp:0.09 dComp:0.00 FF:nan PID:nan
764 x:0.12 y:0.20 z:1.05 acc:1.07 inst:3.06 dt:11 timee:1000 pComp:0.60 iComp:0.10 dComp:0.00 FF:nan PID:nan
773 x:0.12 y:0.20 z:1.05 acc:1.07 inst:3.09 dt:9 timee:1000 pComp:0.61 iComp:0.10 dComp:0.00 FF:nan PID:nan
782 x:0.12 y:0.20 z:1.05 acc:1.07 inst:3.13 dt:9 timee:1000 pComp:0.62 iComp:0.11 dComp:0.00 FF:nan PID:nan
791 x:0.12 y:0.19 z:1.04 acc:1.07 inst:3.16 dt:9 timee:1000 pComp:0.63 iComp:0.11 dComp:0.00 FF:0.17 PID:0.92
800 x:0.12 y:0.19 z:1.04 acc:1.07 inst:3.20 dt:9 timee:1000 pComp:0.64 iComp:0.12 dComp:0.00 FF:0.21 PID:0.97
810 x:0.10 y:0.20 z:1.04 acc:1.06 inst:3.24 dt:10 timee:1000 pComp:0.65 iComp:0.13 dComp:0.00 FF:0.23 PID:1.02
819 x:0.10 y:0.20 z:1.04 acc:1.06 inst:3.28 dt:9 timee:1000 pComp:0.66 iComp:0.13 dComp:0.00 FF:0.25 PID:1.05
829 x:0.10 y:0.20 z:1.04 acc:1.06 inst:3.32 dt:10 timee:1000 pComp:0.68 iComp:0.14 dComp:0.00 FF:0.27 PID:1.08
838 x:0.07 y:0.22 z:1.05 acc:1.08 inst:3.35 dt:9 timee:1000 pComp:0.68 iComp:0.15 dComp:0.00 FF:0.28 PID:1.11
847 x:0.07 y:0.22 z:1.05 acc:1.08 inst:3.39 dt:9 timee:1000 pComp:0.69 iComp:0.15 dComp:0.00 FF:0.29 PID:1.14
857 x:0.08 y:0.21 z:1.07 acc:1.09 inst:3.43 dt:10 timee:1000 pComp:0.70 iComp:0.16 dComp:0.00 FF:0.30 PID:1.16
867 x:0.08 y:0.21 z:1.07 acc:1.09 inst:3.47 dt:10 timee:1000 pComp:0.71 iComp:0.17 dComp:0.00 FF:0.31 PID:1.19
876 x:0.08 y:0.21 z:1.07 acc:1.09 inst:3.50 dt:9 timee:1000 pComp:0.72 iComp:0.17 dComp:0.00 FF:0.32 PID:1.22
885 x:0.08 y:0.20 z:1.09 acc:1.11 inst:3.54 dt:9 timee:1000 pComp:0.73 iComp:0.18 dComp:0.00 FF:0.33 PID:1.24
895 x:0.08 y:0.20 z:1.09 acc:1.11 inst:3.58 dt:10 timee:1000 pComp:0.74 iComp:0.19 dComp:0.00 FF:0.34 PID:1.27
905 x:0.07 y:0.22 z:1.08 acc:1.10 inst:3.62 dt:10 timee:1000 pComp:0.75 iComp:0.19 dComp:0.00 FF:0.34 PID:1.30
914 x:0.07 y:0.22 z:1.08 acc:1.10 inst:3.66 dt:9 timee:1000 pComp:0.77 iComp:0.20 dComp:0.00 FF:0.35 PID:1.32
923 x:0.07 y:0.22 z:1.08 acc:1.10 inst:3.69 dt:9 timee:1000 pComp:0.78 iComp:0.21 dComp:0.00 FF:0.36 PID:1.34
933 x:0.06 y:0.23 z:1.07 acc:1.10 inst:3.73 dt:10 timee:1000 pComp:0.79 iComp:0.21 dComp:0.00 FF:0.36 PID:1.37
943 x:0.06 y:0.23 z:1.07 acc:1.10 inst:3.77 dt:10 timee:1000 pComp:0.80 iComp:0.22 dComp:0.00 FF:0.37 PID:1.40
