Finished setup, waiting to start
UPLoading
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
470 x:0.09 y:0.20 z:1.06 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
479 x:0.10 y:0.22 z:1.06 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
488 x:0.10 y:0.22 z:1.06 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
496 x:0.10 y:0.22 z:1.06 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
506 x:0.10 y:0.22 z:1.05 acc:1.07 inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
514 x:0.10 y:0.22 z:1.05 acc:1.07 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
523 x:0.10 y:0.22 z:1.05 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
532 x:0.08 y:0.21 z:1.04 acc:1.07 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
540 x:0.08 y:0.21 z:1.04 acc:1.07 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
550 x:0.08 y:0.21 z:1.04 acc:1.07 inst:1.11 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
558 x:0.03 y:0.18 z:1.13 acc:1.14 inst:1.11 dt:8 timee:5000 pComp:-0.01 iComp:0.00 dComp:-0.01 PID:0.00
567 x:0.03 y:0.18 z:1.13 acc:1.14 inst:1.11 dt:9 timee:5000 pComp:-0.01 iComp:0.00 dComp:0.00 PID:0.00
576 x:0.06 y:0.20 z:1.10 acc:1.11 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
584 x:0.06 y:0.20 z:1.10 acc:1.11 inst:1.11 dt:8 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
