0	6.00	1.50
17002	4.03	4.00	1.11
17006	4.03	3.99	1.11
17011	4.03	3.99	1.11
17016	4.01	3.98	1.11
17021	4.01	3.98	1.11
17025	4.01	3.98	1.11
17030	4.01	3.97	1.11
17035	4.01	3.97	1.11
17041	4.02	3.96	1.11
17045	4.02	3.96	1.11
17050	4.02	3.95	1.11
17055	4.02	3.95	1.11
17059	4.02	3.94	1.11
17064	4.19	3.94	1.11
17069	4.19	3.93	1.11
17074	4.19	3.93	1.11
17078	4.19	3.92	1.11
17084	4.19	3.92	1.11
17089	4.29	3.91	1.11
17093	4.29	3.91	1.11
17098	4.29	3.90	1.11
17103	4.29	3.90	1.11
17107	4.29	3.89	1.11
17112	4.34	3.89	1.11
17117	4.34	3.88	1.11
17121	4.34	3.88	1.11
17127	4.34	3.87	1.11
17132	4.34	3.87	1.11
17137	4.28	3.86	1.11
17141	4.28	3.86	1.11
17146	4.28	3.85	1.11
17151	4.28	3.85	1.11
17155	4.28	3.84	1.11
17160	4.28	3.84	1.11
17165	4.28	3.83	1.11
17170	4.28	3.83	1.11
17175	4.28	3.82	1.11
17180	3.52	3.82	1.11
17184	3.52	3.82	1.11
17189	3.52	3.81	1.11
17194	3.52	3.81	1.11
17198	3.52	3.80	1.11
17203	3.55	3.80	1.11
17208	3.55	3.79	1.11
17214	3.55	3.79	1.11
17218	3.55	3.78	1.11
17223	3.55	3.78	1.11
17228	3.87	3.77	1.11
17232	3.87	3.77	1.11
17237	3.87	3.76	1.11
17242	3.87	3.76	1.11
17246	3.87	3.75	1.11
17251	3.87	3.75	1.11
17257	4.23	3.74	1.11
17262	4.23	3.74	1.11
17266	4.23	3.73	1.11
17271	4.23	3.73	1.11
17276	4.23	3.72	1.11
17280	4.07	3.72	1.11
17285	4.07	3.72	1.11
17290	4.07	3.71	1.11
17294	4.07	3.71	1.11
17300	4.07	3.70	1.11
17305	3.89	3.70	1.11
17310	3.89	3.69	1.11
17314	3.89	3.69	1.11
17319	3.89	3.68	1.11
17323	3.89	3.68	1.11
17328	3.67	3.67	1.11
17333	3.67	3.67	1.11
17339	3.67	3.66	1.11
17343	3.67	3.66	1.11
17348	3.67	3.65	1.11
17353	3.54	3.65	1.11
17358	3.54	3.64	1.11
17362	3.54	3.64	1.11
17367	3.54	3.63	1.11
17371	3.54	3.63	1.11
17376	3.64	3.62	1.11
17382	3.64	3.62	1.11
17387	3.64	3.61	1.11
17391	3.64	3.61	1.11
17396	3.64	3.60	1.11
17401	3.64	3.60	1.11
17406	3.67	3.59	1.11
17410	3.67	3.59	1.11
17415	3.67	3.58	1.11
17420	3.67	3.58	1.11
17425	3.67	3.57	1.11
17430	3.59	3.57	1.11
17435	3.59	3.56	1.11
17440	3.59	3.56	1.11
17444	3.59	3.56	1.11
17449	3.59	3.55	1.11
17454	3.57	3.55	1.11
17458	3.57	3.54	1.11
17463	3.57	3.54	1.11
17469	3.57	3.53	1.11
17473	3.57	3.53	1.11
17478	3.57	3.52	1.11
17483	3.41	3.52	1.11
17488	3.41	3.51	1.11
17492	3.41	3.51	1.11
17497	3.41	3.50	1.11
17502	3.41	3.50	1.11
17507	3.47	3.49	1.11
17512	3.47	3.49	1.11
17517	3.47	3.48	1.11
17522	3.47	3.48	1.11
17526	3.47	3.47	1.11
17531	3.51	3.47	1.11
17535	3.51	3.47	1.11
17540	3.51	3.46	1.11
17545	3.51	3.46	1.11
17550	3.51	3.45	1.11
17555	3.39	3.45	1.11
17560	3.39	3.44	1.11
17565	3.39	3.44	1.11
17569	3.39	3.43	1.11
17574	3.39	3.43	1.11
17579	3.28	3.42	1.11
17584	3.28	3.42	1.11
17588	3.28	3.41	1.11
17593	3.28	3.41	1.11
17599	3.28	3.40	1.11
17603	3.35	3.40	1.11
17608	3.35	3.39	1.11
17613	3.35	3.39	1.11
17617	3.35	3.38	1.11
17622	3.35	3.38	1.11
17627	3.41	3.37	1.11
17632	3.41	3.37	1.11
17637	3.41	3.36	1.11
17642	3.41	3.36	1.11
17647	3.41	3.35	1.11
17651	3.41	3.35	1.11
17656	3.36	3.34	1.11
17661	3.36	3.34	1.11
17666	3.36	3.33	1.11
17670	3.36	3.33	1.11
17675	3.36	3.32	1.11
17681	3.35	3.32	1.11
17686	3.35	3.31	1.11
17690	3.35	3.31	1.11
17695	3.35	3.30	1.11
17700	3.35	3.30	1.11
17704	3.31	3.30	1.11
17709	3.31	3.29	1.11
17714	3.31	3.29	1.11
17719	3.31	3.28	1.11
17724	3.31	3.28	1.11
17729	3.22	3.27	1.11
17733	3.22	3.27	1.11
17738	3.22	3.26	1.11
17743	3.22	3.26	1.11
17747	3.22	3.25	1.11
17752	3.23	3.25	1.11
17757	3.23	3.24	1.11
17762	3.23	3.24	1.11
17767	3.23	3.23	1.11
17772	3.23	3.23	1.11
17777	3.21	3.22	1.11
17782	3.21	3.22	1.11
17786	3.21	3.21	1.11
17791	3.21	3.21	1.11
17796	3.21	3.20	1.11
17801	3.24	3.20	1.11
17805	3.24	3.20	1.11
17811	3.24	3.19	1.11
17816	3.24	3.18	1.11
17820	3.24	3.18	1.11
17825	3.24	3.18	1.11
17830	3.24	3.17	1.11
17835	3.24	3.17	1.11
17839	3.24	3.16	1.11
17844	3.24	3.16	1.11
17849	3.24	3.15	1.11
17854	3.30	3.15	1.11
17859	3.30	3.14	1.11
17864	3.30	3.14	1.11
17868	3.30	3.13	1.11
17873	3.30	3.13	1.11
17878	3.47	3.12	1.11
17883	3.47	3.12	1.11
17887	3.47	3.11	1.11
17893	3.47	3.11	1.11
17898	3.47	3.10	1.11
17902	3.43	3.10	1.11
17907	3.43	3.09	1.11
17912	3.43	3.09	1.11
17916	3.43	3.08	1.11
17921	3.43	3.08	1.11
17925	3.43	3.07	1.11
17930	3.34	3.07	1.11
17936	3.34	3.06	1.11
17945	3.34	3.05	117941	3.34	3.06	1.11
17955	3.25	3.04	1.11
17959	3.25	3.04	1.11
17964	3.25	3.04	1.11
4	3.05	1.11
.11
17950	3.317969	3.25	3.03	1.11
17973	3.25	3.03	1.11
17979	3.14	3.02	1.11
17984	3.14	3.02	1.11
17989	3.14	3.01	1.11
17993	3.14	3.01	1.11
17998	3.14	3.00	1.11
18003	3.02	3.00	1.11
18007	3.02	2.99	1.11
18012	3.02	2.99	1.11
18017	3.02	2.98	1.11
18022	3.02	2.98	1.11
18027	2.94	2.97	1.11
18032	2.94	2.97	1.11
18037	2.94	2.96	1.11
18041	2.94	2.96	1.11
