C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


26500ms, 570.00RPM, 169.91avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.11] y[0.46] z[1.30] mag[1.38] 24.00 degrees
27000ms, 595.00RPM, 177.78avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.41] z[1.37] mag[1.43] 29.16 degrees
27500ms, 595.00RPM, 185.36avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.51] z[1.34] mag[1.44] 25.08 degrees
28000ms, 570.00RPM, 192.23avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.44] z[1.23] mag[1.31] 20.40 degrees
28500ms, 565.00RPM, 198.77avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.41] z[1.30] mag[1.36] 25.12 degrees
29000ms, 555.00RPM, 204.91avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.51] z[1.30] mag[1.40] 22.87 degrees
29500ms, 550.00RPM, 210.76avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.44] z[1.35] mag[1.42] 27.12 degrees
30000ms, 570.00RPM, 216.75avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.46] z[1.44] mag[1.52] 30.99 degrees
30500ms, 560.00RPM, 222.38avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.44] z[1.34] mag[1.41] 26.77 degrees
31000ms, 560.00RPM, 227.82avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.45] z[1.39] mag[1.46] 28.97 degrees
31500ms, 560.00RPM, 233.10avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.41] z[1.37] mag[1.42] 28.78 degrees
32000ms, 600.00RPM, 238.83avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.41] z[1.41] mag[1.47] 31.01 degrees
32500ms, 565.00RPM, 243.85avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.14] y[0.44] z[1.37] mag[1.44] 28.04 degrees
33000ms, 570.00RPM, 248.79avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.46] z[1.37] mag[1.45] 28.02 degrees
