Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]482 acc:1.06 inst:1.19 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]493 acc:1.06 inst:1.20 dt:11 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]502 acc:1.06 inst:1.20 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]511 acc:1.10 inst:1.20 dt:9 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
520 acc:1.10 inst:1.21 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]530 acc:1.10 inst:1.21 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]540 acc:1.10 inst:1.22 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]549 acc:1.10 inst:1.22 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]558 acc:1.10 inst:1.22 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]568 acc:1.08 inst:1.23 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]578 acc:1.08 inst:1.23 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]588 acc:1.07 inst:1.24 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]597 acc:1.07 inst:1.24 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]606 acc:1.07 inst:1.24 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]617 acc:1.08 inst:1.25 dt:11 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]626 acc:1.08 inst:1.25 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]635 acc:1.12 inst:1.25 dt:9 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
645 acc:1.12 inst:1.26 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]653 acc:1.12 inst:1.26 dt:8 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]664 acc:1.09 inst:1.27 dt:11 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
