0.00RPM, 28.07avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 27.90avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 27.74avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 27.57avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 27.41avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 27.25avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 27.09avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.94avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.78avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.63avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.48avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.33avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.18avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 26.03avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.89avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.75avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.60avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.46avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.33avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.19avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 25.05avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.92avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.79avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.66avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.53avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.40avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.27avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.15avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 24.02avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.90avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.78avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.65avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.54avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.42avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.30avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.18avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 23.07avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.96avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.84avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.73avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.62avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.51avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.40avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.30avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.19avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 22.09avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.98avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.88avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.78avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.67avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.57avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.47avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.38avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.28avgRPM, 0.00V MTR_DIS NOT BRAKING
