Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
0.00 1.56 100000000.00 0.00 
0 2000 7000 0 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
csdt10000000
0.00 1.56 1.56 0.00 
0 2000 10000000 10005000 
884 x:0.02 y:-0.07 z:1.29 acc:1.30 inst:0.69 dt:9 timee:2000 pComp:-0.18 iComp:-0.21 dComp:0.00 PID:0.00
893 x:0.02 y:-0.07 z:1.29 acc:1.30 inst:0.70 dt:9 timee:2000 pComp:-0.18 iComp:-0.21 dComp:0.00 PID:0.00
901 x:0.02 y:-0.07 z:1.29 acc:1.30 inst:0.70 dt:8 timee:2000 pComp:-0.18 iComp:-0.21 dComp:0.00 PID:0.00
910 x:-0.04 y:0.10 z:1.09 acc:1.09 inst:0.71 dt:9 timee:2000 pComp:-0.11 iComp:-0.22 dComp:0.02 PID:0.00
920 x:-0.04 y:0.10 z:1.09 acc:1.09 inst:0.72 dt:10 timee:2000 pComp:-0.11 iComp:-0.22 dComp:0.00 PID:0.00
929 x:-0.05 y:0.06 z:1.12 acc:1.12 inst:0.72 dt:9 timee:2000 pComp:-0.12 iComp:-0.22 dComp:-0.00 PID:0.00
938 x:-0.05 y:0.06 z:1.12 acc:1.12 inst:0.73 dt:9 timee:2000 pComp:-0.12 iComp:-0.22 dComp:0.00 PID:0.00
947 x:-0.05 y:0.06 z:1.12 acc:1.12 inst:0.74 dt:9 timee:2000 pComp:-0.12 iComp:-0.22 dComp:0.00 PID:0.00
955 x:-0.05 y:-0.12 z:1.14 acc:1.15 inst:0.74 dt:8 timee:2000 pComp:-0.12 iComp:-0.22 dComp:-0.00 PID:0.00
965 x:-0.05 y:-0.12 z:1.14 acc:1.15 inst:0.75 dt:10 timee:2000 pComp:-0.12 iComp:-0.22 dComp:0.00 PID:0.00
974 x:-0.05 y:-0.12 z:1.14 acc:1.15 inst:0.76 dt:9 timee:2000 pComp:-0.12 iComp:-0.22 dComp:0.00 PID:0.00
983 x:-0.08 y:-0.17 z:1.12 acc:1.13 inst:0.77 dt:9 timee:2000 pComp:-0.11 iComp:-0.22 dComp:0.00 PID:0.00
992 x:-0.08 y:-0.17 z:1.12 acc:1.13 inst:0.77 dt:9 timee:2000 pComp:-0.11 iComp:-0.23 dComp:0.00 PID:0.00
1001 x:-0.10 y:-0.51 z:1.17 acc:1.28 inst:0.78 dt:9 timee:2000 pComp:-0.15 iComp:-0.23 dComp:-0.02 PID:0.00
1011 x:-0.10 y:-0.51 z:1.17 acc:1.28 inst:0.79 dt:10 timee:2000 pComp:-0.15 iComp:-0.23 dComp:0.00 PID:0.00
1020 x:-0.10 y:-0.51 z:1.17 acc:1.28 inst:0.80 dt:9 timee:2000 pComp:-0.14 iComp:-0.23 dComp:0.00 PID:0.00
1029 x:-0.12 y:-0.53 z:1.16 acc:1.28 inst:0.80 dt:9 timee:2000 pComp:-0.14 iComp:-0.23 dComp:0.00 PID:0.00
1038 x:-0.12 y:-0.53 z:1.16 acc:1.28 inst:0.81 dt:9 timee:2000 pComp:-0.14 iComp:-0.23 dComp:0.00 PID:0.00
1048 x:-0.12 y:-0.53 z:1.16 acc:1.28 inst:0.82 dt:10 timee:2000 pComp:-0.14 iComp:-0.23 dComp:0.00 PID:0.00
1057 x:-0.18 y:-0.24 z:1.10 acc:1.14 inst:0.82 dt:9 timee:2000 pComp:-0.10 iComp:-0.23 dComp:0.02 PID:0.00
1066 x:-0.18 y:-0.24 z:1.10 acc:1.14 inst:0.83 dt:9 timee:2000 pComp:-0.09 iComp:-0.24 dComp:0.00 PID:0.00
1075 x:-0.17 y:-0.16 z:1.07 acc:1.09 inst:0.84 dt:9 timee:2000 pComp:-0.08 iComp:-0.24 dComp:0.01 PID:0.00
1084 x:-0.17 y:-0.16 z:1.07 acc:1.09 inst:0.85 dt:9 timee:2000 pComp:-0.07 iComp:-0.24 dComp:0.00 PID:0.00
1094 x:-0.17 y:-0.16 z:1.07 acc:1.09 inst:0.85 dt:10 timee:2000 pComp:-0.07 iComp:-0.24 dComp:0.00 PID:0.00
