Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
0.00 
5000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
600 x:0.08 y:0.19 z:1.08 acc:1.10 inst:2.40 dt:9 timee:1000 pComp:0.39 iComp:0.02 dComp:0.00 FF:nan PID:0.42
611 x:0.07 y:0.21 z:1.07 acc:1.09 inst:2.44 dt:11 timee:1000 pComp:0.40 iComp:0.02 dComp:0.00 FF:nan PID:0.43
620 x:0.07 y:0.21 z:1.07 acc:1.09 inst:2.48 dt:9 timee:1000 pComp:0.42 iComp:0.03 dComp:0.00 FF:nan PID:0.45
629 x:0.08 y:0.20 z:1.07 acc:1.09 inst:2.52 dt:9 timee:1000 pComp:0.43 iComp:0.03 dComp:0.00 FF:nan PID:0.47
638 x:0.08 y:0.20 z:1.07 acc:1.09 inst:2.55 dt:9 timee:1000 pComp:0.44 iComp:0.04 dComp:0.00 FF:nan PID:0.48
648 x:0.08 y:0.20 z:1.07 acc:1.09 inst:2.59 dt:10 timee:1000 pComp:0.45 iComp:0.04 dComp:0.00 FF:nan PID:0.50
657 x:0.04 y:0.17 z:1.06 acc:1.07 inst:2.63 dt:9 timee:1000 pComp:0.47 iComp:0.04 dComp:0.01 FF:nan PID:0.52
666 x:0.04 y:0.17 z:1.06 acc:1.07 inst:2.66 dt:9 timee:1000 pComp:0.48 iComp:0.05 dComp:0.00 FF:nan PID:0.53
676 x:0.07 y:0.18 z:1.06 acc:1.08 inst:2.70 dt:10 timee:1000 pComp:0.49 iComp:0.05 dComp:0.00 FF:nan PID:0.54
685 x:0.07 y:0.18 z:1.06 acc:1.08 inst:2.74 dt:9 timee:1000 pComp:0.50 iComp:0.06 dComp:0.00 FF:nan PID:0.56
695 x:0.07 y:0.18 z:1.06 acc:1.08 inst:2.78 dt:10 timee:1000 pComp:0.51 iComp:0.06 dComp:0.00 FF:nan PID:0.58
704 x:0.06 y:0.21 z:1.07 acc:1.09 inst:2.82 dt:9 timee:1000 pComp:0.52 iComp:0.07 dComp:0.00 FF:nan PID:0.59
713 x:0.06 y:0.21 z:1.07 acc:1.09 inst:2.85 dt:9 timee:1000 pComp:0.53 iComp:0.07 dComp:0.00 FF:nan PID:0.61
722 x:0.06 y:0.21 z:1.07 acc:1.09 inst:2.89 dt:9 timee:1000 pComp:0.54 iComp:0.08 dComp:0.00 FF:nan PID:0.62
733 x:0.05 y:0.22 z:1.08 acc:1.10 inst:2.93 dt:11 timee:1000 pComp:0.55 iComp:0.08 dComp:0.00 FF:nan PID:0.64
742 x:0.05 y:0.22 z:1.08 acc:1.10 inst:2.97 dt:9 timee:1000 pComp:0.56 iComp:0.09 dComp:0.00 FF:nan PID:0.65
751 x:0.08 y:0.20 z:1.08 acc:1.10 inst:3.00 dt:9 timee:1000 pComp:0.57 iComp:0.09 dComp:0.00 FF:nan PID:0.67
760 x:0.08 y:0.20 z:1.08 acc:1.10 inst:3.04 dt:9 timee:1000 pComp:0.58 iComp:0.10 dComp:0.00 FF:nan PID:0.69
769 x:0.08 y:0.20 z:1.08 acc:1.10 inst:3.08 dt:9 timee:1000 pComp:0.59 iComp:0.10 dComp:0.00 FF:nan PID:0.70
779 x:0.09 y:0.21 z:1.07 acc:1.09 inst:3.12 dt:10 timee:1000 pComp:0.61 iComp:0.11 dComp:0.00 FF:nan PID:0.72
788 x:0.09 y:0.21 z:1.07 acc:1.09 inst:3.15 dt:9 timee:1000 pComp:0.62 iComp:0.12 dComp:0.00 FF:0.15 PID:0.74
798 x:0.09 y:0.21 z:1.07 acc:1.09 inst:3.19 dt:10 timee:1000 pComp:0.63 iComp:0.12 dComp:0.00 FF:0.20 PID:0.76
807 x:0.08 y:0.22 z:1.06 acc:1.09 inst:3.23 dt:9 timee:1000 pComp:0.64 iComp:0.13 dComp:0.00 FF:0.23 PID:0.77
817 x:0.08 y:0.22 z:1.06 acc:1.09 inst:3.27 dt:10 timee:1000 pComp:0.65 iComp:0.13 dComp:0.00 FF:0.25 PID:0.79
827 x:0.08 y:0.21 z:1.06 acc:1.08 inst:3.31 dt:10 timee:1000 pComp:0.67 iComp:0.14 dComp:0.00 FF:0.26 PID:0.81
836 x:0.08 y:0.21 z:1.06 acc:1.08 inst:3.34 dt:9 timee:1000 pComp:0.68 iComp:0.15 dComp:0.00 FF:0.28 PID:0.83
845 x:0.08 y:0.21 z:1.06 acc:1.08 inst:3.38 dt:9 timee:1000 pComp:0.69 iComp:0.15 dComp:0.00 FF:0.29 PID:0.85
854 x:0.09 y:0.20 z:1.05 acc:1.08 inst:3.42 dt:9 timee:1000 pComp:0.70 iComp:0.16 dComp:0.00 FF:0.30 PID:0.87
864 x:0.09 y:0.20 z:1.05 acc:1.08 inst:3.46 dt:10 timee:1000 pComp:0.71 iComp:0.17 dComp:0.00 FF:0.31 PID:0.88
874 x:0.09 y:0.15 z:1.08 acc:1.10 inst:3.50 dt:10 timee:1000 pComp:0.72 iComp:0.17 dComp:0.00 FF:0.32 PID:0.90
883 x:0.09 y:0.15 z:1.08 acc:1.10 inst:3.53 dt:9 timee:1000 pComp:0.73 iComp:0.18 dComp:0.00 FF:0.33 PID:0.91
892 x:0.09 y:0.15 z:1.08 acc:1.10 inst:3.57 dt:9 timee:1000 pComp:0.74 iComp:0.19 dComp:0.00 FF:0.33 PID:0.93
903 x:0.08 y:0.17 z:1.07 acc:1.09 inst:3.61 dt:11 timee:1000 pComp:0.76 iComp:0.19 dComp:0.00 FF:0.34 PID:0.96
