Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[0.54]506 acc:1.20 inst:1.20 dt:9 pComp:-0.00 iComp:-0.00 dComp:-0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
516 acc:1.20 inst:1.21 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
525 acc:1.20 inst:1.21 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
535 acc:1.09 inst:1.21 dt:10 pComp:0.00 iComp:-0.00 dComp:0.01 FF:0.54 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.54]543 acc:1.09 inst:1.22 dt:8 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.54 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]553 acc:1.13 inst:1.22 dt:10 pComp:0.00 iComp:-0.00 dComp:-0.00 FF:0.55 PID:0.54 BRK_EN:DIS MTR_EN:YES
563 acc:1.13 inst:1.23 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]572 acc:1.13 inst:1.23 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]582 acc:1.14 inst:1.23 dt:10 pComp:0.00 iComp:-0.00 dComp:-0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]591 acc:1.14 inst:1.24 dt:9 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]601 acc:1.14 inst:1.24 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]611 acc:1.14 inst:1.24 dt:10 pComp:0.00 iComp:-0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]620 acc:1.14 inst:1.25 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]630 acc:1.14 inst:1.25 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.55 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]639 acc:1.14 inst:1.26 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.55 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.55]650 acc:1.09 inst:1.26 dt:11 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.55 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.56]659 acc:1.09 inst:1.26 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.56 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.56]668 acc:1.09 inst:1.27 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.56 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.56]678 acc:1.22 inst:1.27 dt:10 pComp:0.00 iComp:0.00 dComp:-0.01 FF:0.56 PID:0.55 BRK_EN:DIS MTR_EN:YES
687 acc:1.22 inst:1.27 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.55 PID:0.55 BRK_EN:DIS MTR_EN:YES
697 acc:1.44 inst:1.28 dt:10 pComp:-0.00 iComp:0.00 dComp:-0.02 FF:0.55 PID:0.53 BRK_EN:DIS MTR_EN:YES
706 acc:1.44 inst:1.28 dt:9 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.53 PID:0.53 BRK_EN:DIS MTR_EN:YES
715 acc:1.44 inst:1.29 dt:9 pComp:-0.00 iComp:0.00 dComp:0.00 FF:0.54 PID:0.54 BRK_EN:DIS MTR_EN:YES
724 acc:1.27 inst:1.29 dt:9 pComp:0.00 iComp:0.00 dComp:0.02 FF:0.54 PID:0.56 BRK_EN:DIS MTR_EN:YES
734 acc:1.27 inst:1.29 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.56 PID:0.56 BRK_EN:DIS MTR_EN:YES
742 acc:1.27 inst:1.30 dt:8 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.56 PID:0.56 BRK_EN:DIS MTR_EN:YES
NO_BS[0.56]751 acc:1.15 inst:1.30 dt:9 pComp:0.00 iComp:0.00 dComp:0.01 FF:0.56 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.56]760 acc:1.15 inst:1.30 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.56 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]770 acc:1.13 inst:1.31 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]780 acc:1.13 inst:1.31 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]789 acc:1.13 inst:1.32 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]799 acc:1.13 inst:1.32 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]808 acc:1.13 inst:1.32 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]819 acc:1.14 inst:1.33 dt:11 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]828 acc:1.14 inst:1.33 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]837 acc:1.14 inst:1.33 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]847 acc:1.14 inst:1.34 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]856 acc:1.14 inst:1.34 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]866 acc:1.19 inst:1.35 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.57 PID:0.57 BRK_EN:DIS MTR_EN:YES
876 acc:1.19 inst:1.35 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.57]884 acc:1.19 inst:1.35 dt:8 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]894 acc:1.27 inst:1.36 dt:10 pComp:0.00 iComp:0.00 dComp:-0.01 FF:0.58 PID:0.57 BRK_EN:DIS MTR_EN:YES
904 acc:1.27 inst:1.36 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.57 PID:0.58 BRK_EN:DIS MTR_EN:YES
913 acc:1.27 inst:1.37 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.58 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]922 acc:1.27 inst:1.37 dt:9 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.58 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]931 acc:1.27 inst:1.37 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.58 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]941 acc:1.19 inst:1.38 dt:10 pComp:0.00 iComp:0.00 dComp:0.01 FF:0.58 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]951 acc:1.19 inst:1.38 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.58 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]960 acc:1.19 inst:1.38 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.58 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]970 acc:1.22 inst:1.39 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.58 PID:0.58 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]979 acc:1.22 inst:1.39 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.58 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.58]989 acc:1.26 inst:1.40 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.58 PID:0.58 BRK_EN:DIS MTR_EN:YES
999 acc:1.26 inst:1.40 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.58 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1007 acc:1.26 inst:1.40 dt:8 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.59 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1017 acc:1.22 inst:1.41 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.59 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1026 acc:1.22 inst:1.41 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.59 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1037 acc:1.14 inst:1.41 dt:11 pComp:0.01 iComp:0.00 dComp:0.01 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1046 acc:1.14 inst:1.42 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.59 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1055 acc:1.14 inst:1.42 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1065 acc:1.18 inst:1.43 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.59 PID:0.59 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1075 acc:1.18 inst:1.43 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1085 acc:1.18 inst:1.43 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1095 acc:1.15 inst:1.44 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1104 acc:1.15 inst:1.44 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.59]1113 acc:1.16 inst:1.45 dt:9 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.59 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1124 acc:1.16 inst:1.45 dt:11 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1133 acc:1.16 inst:1.45 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1143 acc:1.15 inst:1.46 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1152 acc:1.15 inst:1.46 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1163 acc:1.25 inst:1.47 dt:11 pComp:0.00 iComp:0.00 dComp:-0.01 FF:0.60 PID:0.59 BRK_EN:DIS MTR_EN:YES
1172 acc:1.25 inst:1.47 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.60 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1181 acc:1.25 inst:1.47 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.60 PID:0.60 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1190 acc:1.23 inst:1.48 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.60 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1200 acc:1.23 inst:1.48 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.61 BRK_EN:DIS MTR_EN:YES
