C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	1.11


x[0.00] y[0.00] z[0.00] mag[0.00] 37001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 37501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 38001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 38501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 39001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 39501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 40001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 40501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 41001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 41501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 42001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 42501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 43001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 43501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 44001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 44502ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 45001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 45501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 46001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 46501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 47001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 47501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 48001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 48501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 49001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 49501ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
x[0.00] y[0.00] z[0.00] mag[0.00] 50001ms, 0.00RPM, 0.00avgRPM, 0.00V MTR_DIS YES BRAKING
